num1,num2,num3,num4,num5,Sum
48,67,43,43,23,224
77,96,7,10,28,218
56,100,23,5,44,228
48,99,62,52,4,265
25,44,52,52,9,182
42,28,18,59,62,209
89,8,69,17,80,263
35,37,90,70,1,233
3,87,71,83,74,318
100,24,63,30,26,243
56,74,49,23,19,221
49,54,92,92,86,373
32,81,22,7,93,235
65,30,43,6,65,209
31,61,76,93,44,305
64,28,88,10,51,241
80,78,90,98,60,406
13,61,17,66,84,241
46,99,8,75,56,284
34,8,20,11,61,134
55,19,50,1,51,176
25,50,71,48,57,251
56,37,79,20,27,219
99,52,99,92,67,409
80,94,94,96,26,390
24,71,9,50,76,230
36,3,32,19,24,114
32,35,58,60,80,265
76,58,24,95,18,271
68,99,54,68,11,300
92,50,69,42,97,350
47,74,17,21,63,222
59,77,15,67,60,278
76,10,40,99,77,302
98,1,64,39,11,213
100,3,87,23,87,300
74,40,28,53,43,238
44,49,53,45,77,268
81,45,93,33,8,260
49,60,57,72,69,307
67,56,21,20,81,245
2,86,32,65,13,198
63,70,9,69,26,237
33,2,92,67,21,215
6,82,100,74,56,318
81,20,96,1,59,257
75,93,72,61,6,307
70,89,64,9,99,331
27,9,44,44,31,155
99,87,72,7,68,333
55,65,20,6,94,240
58,87,15,68,69,297
2,53,50,25,81,211
8,67,59,93,96,323
26,43,36,91,8,204
3,79,2,10,25,119
61,5,95,28,84,273
52,8,41,83,34,218
35,30,40,15,6,126
66,15,20,71,28,200
9,83,78,23,25,218
25,52,66,79,4,226
12,93,31,71,92,299
64,25,49,10,9,157
90,5,4,53,14,166
22,58,54,83,60,277
61,28,6,88,100,283
23,16,74,62,80,255
11,84,10,53,98,256
22,52,50,45,37,206
94,34,47,71,5,251
10,78,22,30,1,141
90,58,55,42,34,279
51,75,89,94,80,389
98,94,47,12,90,341
98,4,30,68,35,235
24,17,79,7,94,221
39,42,22,87,23,213
45,74,57,13,40,229
36,45,81,99,41,302
29,28,80,74,46,257
84,64,66,62,27,303
32,26,74,77,20,229
51,98,20,6,2,177
44,93,63,2,7,209
99,6,61,89,17,272
55,73,37,71,81,317
25,2,3,90,8,128
58,31,91,2,43,225
49,72,86,22,78,307
64,72,81,8,51,276
39,93,84,24,90,330
55,41,44,36,43,219
24,86,61,62,5,238
15,78,88,41,16,238
43,71,81,3,26,224
7,28,17,43,84,179
64,5,44,1,71,185
44,74,73,59,27,277
84,76,82,48,72,362
16,30,64,49,43,202
78,79,49,59,17,282
61,86,5,20,69,241
51,98,77,15,42,283
90,71,79,48,14,302
6,59,16,18,73,172
84,58,71,41,85,339
72,61,43,97,53,326
95,80,76,34,71,356
61,62,44,32,23,222
57,80,31,10,82,260
41,97,30,77,95,340
8,94,75,69,100,346
52,10,46,97,21,226
45,84,15,28,50,222
24,12,60,45,1,142
2,42,83,55,51,233
7,72,98,48,66,291
17,79,92,77,19,284
62,35,72,60,23,252
27,93,97,36,32,285
41,49,50,37,40,217
63,91,44,38,40,276
64,2,10,63,15,154
44,10,69,12,69,204
34,42,54,55,70,255
25,49,45,78,44,241
45,92,77,59,56,329
15,47,55,75,22,214
65,59,61,23,11,219
35,76,100,90,16,317
30,27,59,33,4,153
77,87,45,91,94,394
15,7,45,6,75,148
98,3,61,15,74,251
58,93,65,54,62,332
30,11,41,69,37,188
1,2,26,83,63,175
3,82,76,18,68,247
100,63,28,45,11,247
55,1,18,89,49,212
11,43,45,57,22,178
46,30,21,69,68,234
18,80,3,75,86,262
42,64,49,53,62,270
47,54,91,13,67,272
17,68,12,19,52,168
31,35,35,49,33,183
55,23,28,33,33,172
7,68,19,65,92,251
60,8,33,65,52,218
9,7,46,31,73,166
21,85,46,86,67,305
63,85,44,79,55,326
26,28,84,98,19,255
60,37,96,3,39,235
4,35,52,4,53,148
5,44,70,39,56,214
40,11,41,11,72,175
58,35,58,29,95,275
67,61,58,49,39,274
41,88,91,60,1,281
38,84,73,82,58,335
50,69,8,56,89,272
39,25,68,80,36,248
50,6,43,41,33,173
3,22,42,96,95,258
60,7,79,77,31,254
38,90,34,60,1,223
13,86,55,30,52,236
13,32,33,43,31,152
9,49,48,60,6,172
83,28,75,44,53,283
68,23,39,49,78,257
68,43,46,1,93,251
95,36,38,63,72,304
60,69,21,27,46,223
39,91,38,34,9,211
7,9,65,38,9,128
11,13,12,58,9,103
45,75,3,36,57,216
33,27,33,4,28,125
99,90,70,47,69,375
96,86,77,57,18,334
82,88,61,86,60,377
43,65,86,84,70,348
86,43,72,8,49,258
25,25,97,84,71,302
54,13,49,39,98,253
44,16,60,57,75,252
63,51,69,18,77,278
20,9,8,72,83,192
40,27,53,48,23,191
46,69,64,46,85,310
89,5,57,69,11,231
94,24,90,2,32,242
39,85,55,62,22,263
69,89,30,31,24,243
17,35,10,68,96,226
70,81,88,30,98,367
41,34,46,91,38,250
30,16,53,100,24,223
71,97,91,77,59,395
90,93,94,84,18,379
24,65,87,60,78,314
78,90,37,31,27,263
34,93,17,6,84,234
71,18,1,41,89,220
58,13,81,63,81,296
57,30,62,43,67,259
25,81,62,96,29,293
45,34,17,62,29,187
100,60,23,36,9,228
1,6,96,98,86,287
2,50,44,84,71,251
34,74,50,40,27,225
5,85,99,62,77,328
53,70,23,58,17,221
88,62,61,70,89,370
8,91,4,14,12,129
43,45,91,64,83,326
74,89,27,51,7,248
24,65,83,38,61,271
90,48,94,94,75,401
72,29,60,32,6,199
42,96,52,51,78,319
59,51,54,60,35,259
69,68,43,63,4,247
30,58,99,94,78,359
66,87,83,63,89,388
54,67,81,30,43,275
67,58,58,29,98,310
24,34,58,68,56,240
31,23,32,9,54,149
83,15,3,9,96,206
23,72,64,79,58,296
53,31,13,7,95,199
95,20,62,80,68,325
11,55,22,23,96,207
13,15,4,62,25,119
50,15,48,66,60,239
71,80,81,94,55,381
5,84,32,29,74,224
82,42,22,51,91,288
35,76,27,92,38,268
10,94,41,3,45,193
95,25,49,70,50,289
36,24,7,48,31,146
45,93,9,41,24,212
34,51,10,45,71,211
87,12,64,69,22,254
77,89,61,70,70,367
98,22,71,92,84,367
71,97,8,83,62,321
75,99,75,19,19,287
74,45,92,74,87,372
47,41,22,39,40,189
90,39,94,90,92,405
46,51,5,19,91,212
82,26,85,76,94,363
54,79,42,21,49,245
14,81,57,16,71,239
76,39,56,4,93,268
52,60,81,49,13,255
35,94,47,19,36,231
2,60,77,25,58,222
47,8,85,56,40,236
69,10,83,41,33,236
64,33,18,6,8,129
98,81,38,12,80,309
14,1,64,5,58,142
60,6,36,32,55,189
83,27,10,51,36,207
5,33,63,10,98,209
22,16,12,51,47,148
44,45,59,72,92,312
34,4,61,13,7,119
89,49,96,22,98,354
6,9,73,98,36,222
98,60,78,88,100,424
21,76,58,63,86,304
31,85,22,28,2,168
85,35,10,78,45,253
67,30,76,59,61,293
9,74,22,48,39,192
20,35,26,1,37,119
17,5,90,67,10,189
74,14,83,54,69,294
47,67,78,29,73,294
94,26,40,31,25,216
76,81,1,9,92,259
37,10,3,12,29,91
53,14,81,35,18,201
38,91,80,66,39,314
77,57,51,63,79,327
63,84,86,83,47,363
44,19,45,60,59,227
92,86,5,7,36,226
53,89,4,70,85,301
23,38,12,39,31,143
65,15,7,79,42,208
45,64,98,11,50,268
49,31,5,94,8,187
94,47,30,58,22,251
49,53,32,34,42,210
97,4,55,73,21,250
3,67,10,16,28,124
40,96,41,21,10,208
36,21,81,48,100,286
60,91,65,35,52,303
45,54,24,43,15,181
14,68,5,25,23,135
92,77,85,54,92,400
64,100,11,9,54,238
36,34,5,50,65,190
81,89,10,52,77,309
28,10,47,83,12,180
16,68,28,55,70,237
30,91,39,100,95,355
31,56,33,56,64,240
82,26,82,21,89,300
13,21,48,44,49,175
95,89,70,39,94,387
2,78,3,9,73,165
13,82,70,12,92,269
69,6,27,46,4,152
20,26,17,12,82,157
35,52,16,1,35,139
89,41,18,79,64,291
85,87,19,39,58,288
87,59,6,98,36,286
15,76,62,26,75,254
89,38,22,14,5,168
84,59,93,51,97,384
99,93,4,26,7,229
46,7,36,6,64,159
63,57,76,48,21,265
45,20,9,65,3,142
15,59,88,40,35,237
6,87,59,55,31,238
90,21,7,64,75,257
29,67,17,84,6,203
33,93,37,67,84,314
48,96,45,8,84,281
49,81,18,89,69,306
38,4,28,88,92,250
100,87,2,60,70,319
9,6,92,67,68,242
86,2,63,44,69,264
10,87,67,14,29,207
54,15,6,95,73,243
24,69,1,44,76,214
37,37,29,39,24,166
35,55,57,40,88,275
1,7,73,30,27,138
60,60,94,73,20,307
79,47,66,69,51,312
46,88,6,80,92,312
31,7,11,13,64,126
8,16,88,76,40,228
86,35,61,51,43,276
25,11,28,70,63,197
57,8,67,34,44,210
14,90,59,24,73,260
2,62,94,78,45,281
65,33,8,13,71,190
13,1,11,42,84,151
37,68,20,93,38,256
10,81,81,19,52,243
33,52,60,71,70,286
27,88,9,74,84,282
42,41,66,69,69,287
97,96,51,18,76,338
26,71,61,4,22,184
89,58,41,33,40,261
23,67,35,97,20,242
77,30,53,51,49,260
48,8,60,29,49,194
14,68,61,72,8,223
72,12,84,39,36,243
87,58,49,73,73,340
3,71,69,53,93,289
39,88,48,2,23,200
79,80,37,25,18,239
86,54,14,99,89,342
30,18,95,15,81,239
44,5,91,27,82,249
62,99,47,94,62,364
3,64,49,15,2,133
55,76,59,94,76,360
25,19,66,42,28,180
88,3,100,79,23,293
60,23,40,43,71,237
41,9,1,100,37,188
97,34,10,21,98,260
29,96,96,5,55,281
47,25,87,47,64,270
61,73,31,24,92,281
48,40,53,18,62,221
25,95,76,84,18,298
16,63,10,5,9,103
97,6,2,9,31,145
70,40,22,44,28,204
53,27,11,34,20,145
74,38,62,66,90,330
57,13,33,8,97,208
91,4,66,17,32,210
81,37,14,29,89,250
21,16,37,41,7,122
24,15,27,73,35,174
38,92,7,70,84,291
82,7,69,37,18,213
53,92,61,34,47,287
50,12,84,75,49,270
51,7,83,52,50,243
42,7,17,2,24,92
22,37,18,67,91,235
1,66,1,41,50,159
82,62,7,97,13,261
69,45,97,28,96,335
1,83,7,4,82,177
76,74,92,22,28,292
79,74,93,46,3,295
13,97,72,57,3,242
92,3,47,27,67,236
87,25,25,53,48,238
72,26,93,99,90,380
19,25,92,31,43,210
73,21,58,54,77,283
57,71,16,80,15,239
37,59,25,38,13,172
7,85,57,46,64,259
37,67,91,48,73,316
9,47,67,16,19,158
25,72,56,46,14,213
77,23,89,49,73,311
10,27,39,9,56,141
81,36,25,86,87,315
79,3,96,67,55,300
97,67,81,30,48,323
36,18,100,61,67,282
34,84,88,9,45,260
11,13,43,24,10,101
99,72,22,43,25,261
92,5,87,18,37,239
24,19,89,10,8,150
36,18,53,72,82,261
9,60,65,99,43,276
88,91,7,41,41,268
74,87,9,4,79,253
35,22,22,31,17,127
94,99,72,69,45,379
18,82,16,27,7,150
21,95,87,50,36,289
56,41,19,62,39,217
15,76,74,67,77,309
37,78,76,60,33,284
34,27,40,96,53,250
83,55,49,12,8,207
37,54,29,5,10,135
100,42,43,56,34,275
94,71,57,9,75,306
35,30,54,67,23,209
41,79,41,73,41,275
62,79,23,68,85,317
30,38,81,75,31,255
73,94,4,13,28,212
21,42,100,91,33,287
73,43,65,14,95,290
10,48,79,68,13,218
73,58,66,52,60,309
29,86,53,52,88,308
15,35,57,71,67,245
31,5,96,20,1,153
4,50,25,51,82,212
2,14,52,35,11,114
37,74,12,26,45,194
38,27,92,72,1,230
96,65,89,20,74,344
86,56,59,58,7,266
52,42,100,95,85,374
64,21,2,49,22,158
42,1,77,55,17,192
20,58,4,60,79,221
20,68,1,93,19,201
34,22,88,100,13,257
98,23,33,78,30,262
60,47,96,20,56,279
61,93,64,60,89,367
23,58,83,91,32,287
55,1,83,59,74,272
42,83,44,90,62,321
25,26,36,4,40,131
41,56,71,66,56,290
74,9,66,94,80,323
50,68,95,97,2,312
12,75,51,45,85,268
91,58,46,43,23,261
46,45,69,40,98,298
55,84,57,24,77,297
34,94,34,42,48,252
9,26,62,66,35,198
90,97,78,93,36,394
39,26,18,93,18,194
79,68,41,65,89,342
43,31,27,38,29,168
36,75,62,66,70,309
26,16,14,66,73,195
63,47,17,31,19,177
27,50,62,77,73,289
3,31,58,27,94,213
71,20,84,73,32,280
45,38,73,43,8,207
95,44,31,25,62,257
86,84,70,57,83,380
20,54,12,18,40,144
42,97,6,29,7,181
22,12,50,70,69,223
10,28,75,57,6,176
53,46,94,85,59,337
41,90,78,10,51,270
7,3,44,78,22,154
54,92,44,100,60,350
46,60,54,30,40,230
13,86,48,52,30,229
47,98,77,12,89,323
59,17,63,69,89,297
39,87,31,31,89,277
86,23,85,94,79,367
97,90,24,20,75,306
36,2,28,47,95,208
98,92,80,71,17,358
92,49,57,79,61,338
62,34,52,92,68,308
45,78,18,75,83,299
67,39,86,100,2,294
79,99,80,9,2,269
22,68,56,97,38,281
74,40,14,30,44,202
3,57,13,60,34,167
66,20,41,39,73,239
12,45,20,36,43,156
36,52,73,60,9,230
4,95,64,59,69,291
55,98,88,29,26,296
50,52,14,3,11,130
21,19,23,50,41,154
60,78,15,77,23,253
10,84,79,75,83,331
22,87,2,25,35,171
94,67,58,49,78,346
87,26,6,47,94,260
30,2,35,51,53,171
50,9,17,73,44,193
4,1,8,14,34,61
73,85,2,87,89,336
64,46,60,61,77,308
80,80,38,42,87,327
79,87,73,35,96,370
87,27,62,11,52,239
58,39,45,47,92,281
39,11,9,76,21,156
83,60,8,21,94,266
8,26,4,63,21,122
20,35,34,61,80,230
80,68,25,28,79,280
87,100,54,69,58,368
89,72,78,91,69,399
29,85,45,34,91,284
2,39,64,40,14,159
58,99,63,9,38,267
39,51,98,12,52,252
56,89,89,36,75,345
25,5,10,39,89,168
26,93,10,34,71,234
76,19,33,50,79,257
16,31,15,59,65,186
53,24,64,27,78,246
24,25,96,82,85,312
34,29,40,7,99,209
78,27,76,64,83,328
46,19,64,99,97,325
39,14,6,99,73,231
42,75,42,54,68,281
8,53,98,57,51,267
31,12,19,79,84,225
41,95,82,20,54,292
63,4,11,93,70,241
81,12,63,81,51,288
49,66,60,42,33,250
40,67,39,35,13,194
51,57,6,74,39,227
87,39,60,99,3,288
4,20,15,90,12,141
11,94,84,69,25,283
30,37,19,49,3,138
24,56,10,60,41,191
38,15,89,54,35,231
94,38,37,82,77,328
25,18,39,27,35,144
73,19,44,26,100,262
35,74,93,12,54,268
14,76,44,19,79,232
94,70,22,29,89,304
77,1,86,56,5,225
76,9,38,88,5,216
20,36,87,5,37,185
91,46,91,63,39,330
10,54,78,66,96,304
94,70,48,7,66,285
96,41,21,40,21,219
72,75,38,32,93,310
98,94,10,2,45,249
97,57,65,40,62,321
31,1,93,33,73,231
28,28,86,7,23,172
100,83,51,21,59,314
82,89,89,7,79,346
19,80,57,97,54,307
92,51,89,39,78,349
27,91,90,34,71,313
92,98,51,73,56,370
12,52,87,89,64,304
70,85,22,57,60,294
34,85,49,99,95,362
99,66,76,25,26,292
21,75,16,91,41,244
83,92,34,95,77,381
36,42,27,47,64,216
78,72,52,12,87,301
59,54,41,72,99,325
1,78,67,74,72,292
39,38,32,93,71,273
65,83,74,95,52,369
99,4,65,18,74,260
64,96,21,44,78,303
45,93,45,50,46,279
5,89,57,5,5,161
24,85,10,63,80,262
23,54,58,35,42,212
56,78,20,28,100,282
58,97,93,8,60,316
95,99,46,91,63,394
22,100,59,89,44,314
38,89,57,8,24,216
89,2,1,100,73,265
76,91,61,15,40,283
38,52,43,46,2,181
41,26,95,24,17,203
79,70,97,44,6,296
14,19,43,15,81,172
95,31,99,22,2,249
42,82,84,2,19,229
19,10,29,94,68,220
60,80,55,33,100,328
46,15,77,56,55,249
64,26,14,15,63,182
97,91,49,30,95,362
31,66,8,54,65,224
7,59,11,95,53,225
15,77,35,76,16,219
96,84,64,24,97,365
85,67,70,28,64,314
47,46,51,87,21,252
14,3,22,86,43,168
97,84,62,91,44,378
6,13,14,61,12,106
66,73,96,44,56,335
97,10,34,12,59,212
72,86,46,65,12,281
50,68,52,55,66,291
66,83,28,50,88,315
71,57,85,26,41,280
21,54,8,67,11,161
51,65,28,73,15,232
65,94,30,8,25,222
5,78,46,81,41,251
39,81,5,59,17,201
31,32,14,24,39,140
81,25,53,1,79,239
16,60,54,11,65,206
30,17,72,30,13,162
37,53,24,27,2,143
66,16,8,87,37,214
32,77,19,4,58,190
96,23,38,10,94,261
19,94,93,94,44,344
60,28,1,79,76,244
67,78,41,26,21,233
80,39,66,38,71,294
54,13,69,62,80,278
40,54,7,63,40,204
29,36,49,70,97,281
29,65,69,84,60,307
60,59,79,53,67,318
45,88,87,95,4,319
47,19,35,98,34,233
42,95,34,7,91,269
49,80,93,9,17,248
95,72,42,57,75,341
51,25,8,65,51,200
59,19,50,37,41,206
70,53,40,64,79,306
56,48,92,68,48,312
9,2,20,6,28,65
82,66,20,100,19,287
62,26,82,58,7,235
91,46,52,40,89,318
41,16,75,67,59,258
96,4,86,62,23,271
97,38,91,58,99,383
15,77,55,90,83,320
78,64,58,35,61,296
62,62,44,91,100,359
49,82,9,37,99,276
86,19,13,46,53,217
21,27,97,16,69,230
21,14,51,62,65,213
35,10,49,85,47,226
95,71,82,38,29,315
28,29,93,88,98,336
59,7,78,73,44,261
27,80,91,24,77,299
45,91,14,37,93,280
89,82,7,24,88,290
8,76,15,13,16,128
100,96,75,13,80,364
11,50,20,13,93,187
72,86,9,13,13,193
87,24,75,85,17,288
50,32,89,21,33,225
92,2,36,98,22,250
70,57,38,88,37,290
65,73,29,94,52,313
36,47,43,98,40,264
62,100,91,76,84,413
35,52,79,34,64,264
59,94,92,28,84,357
82,30,7,91,19,229
87,72,24,21,88,292
99,99,25,29,35,287
49,67,29,53,12,210
46,20,48,29,21,164
72,5,28,30,58,193
59,59,92,17,35,262
13,42,24,53,77,209
77,95,18,95,78,363
40,91,6,83,3,223
34,45,84,78,78,319
21,44,69,47,24,205
82,16,31,5,3,137
88,1,63,45,80,277
96,7,93,36,24,256
53,49,41,79,85,307
73,52,49,14,27,215
84,17,75,26,96,298
17,6,97,92,60,272
45,74,99,98,54,370
19,78,68,63,13,241
19,86,98,12,60,275
69,43,63,17,23,215
83,55,65,10,48,261
49,45,70,15,51,230
70,17,51,9,55,202
41,66,40,26,12,185
37,94,67,78,19,295
25,85,56,80,6,252
60,36,67,1,80,244
3,54,78,69,51,255
93,94,49,13,37,286
19,81,72,87,19,278
86,45,5,70,5,211
96,36,11,77,96,316
89,81,68,70,72,380
7,91,83,54,44,279
26,24,65,24,80,219
61,34,73,17,40,225
36,58,29,2,79,204
96,75,7,87,51,316
73,26,23,31,56,209
51,31,57,46,18,203
38,78,37,87,66,306
96,8,77,5,46,232
24,5,86,72,77,264
78,62,21,97,38,296
95,49,36,4,17,201
95,14,78,77,12,276
93,38,17,96,56,300
27,14,60,56,42,199
91,90,32,37,75,325
45,95,25,17,84,266
99,19,72,85,22,297
80,67,99,13,27,286
1,96,54,14,29,194
11,90,85,90,15,291
79,5,41,93,58,276
54,30,53,93,14,244
39,31,29,2,50,151
84,47,61,39,92,323
49,16,65,12,83,225
22,8,58,17,92,197
80,49,68,19,99,315
94,30,73,40,10,247
27,34,38,92,92,283
69,37,38,98,78,320
92,8,76,43,10,229
51,65,43,9,27,195
5,21,11,49,97,183
87,20,56,85,84,332
68,2,35,82,82,269
100,22,31,93,35,281
25,49,47,33,30,184
67,96,78,16,17,274
94,16,8,84,33,235
42,37,99,87,62,327
66,36,35,65,67,269
75,30,32,69,88,294
62,71,42,45,40,260
8,92,64,43,68,275
43,7,24,93,22,189
76,42,65,33,77,293
36,98,84,80,12,310
23,39,44,22,41,169
4,31,85,17,75,212
78,52,91,4,11,236
66,43,73,26,47,255
46,60,5,84,8,203
66,88,78,22,2,256
62,85,79,100,16,342
53,65,84,88,92,382
96,94,43,73,73,379
77,66,72,43,98,356
69,84,29,16,100,298
100,27,3,65,15,210
23,18,49,82,11,183
60,67,71,32,56,286
47,46,68,38,90,289
41,81,11,9,7,149
95,59,16,70,14,254
50,24,1,52,88,215
40,49,53,37,12,191
20,45,7,17,43,132
2,59,12,90,15,178
45,11,2,73,54,185
4,71,17,9,13,114
69,10,73,82,73,307
85,87,7,59,1,239
8,99,92,63,54,316
37,80,83,19,87,306
44,71,52,49,45,261
61,14,28,52,35,190
67,1,11,95,97,271
28,48,83,79,47,285
63,12,46,5,78,204
77,49,36,12,93,267
45,39,17,99,5,205
63,88,58,90,83,382
25,51,76,53,30,235
16,31,90,80,41,258
84,27,96,55,97,359
86,20,48,87,15,256
5,54,55,61,74,249
62,59,69,61,99,350
35,75,57,45,68,280
81,63,74,43,82,343
51,36,18,77,89,271
92,34,72,74,79,351
49,8,4,47,16,124
90,58,95,48,29,320
74,50,61,81,44,310
32,78,77,60,93,340
69,54,42,81,79,325
42,48,84,98,25,297
49,55,10,98,42,254
33,56,68,75,45,277
55,31,59,21,10,176
36,71,19,55,83,264
10,22,26,26,90,174
89,94,49,95,55,382
48,46,82,37,58,271
22,39,18,80,32,191
26,64,55,19,91,255
93,70,39,75,57,334
68,15,61,15,28,187
77,79,57,23,79,315
34,49,8,59,20,170
2,82,41,88,74,287
66,93,54,92,51,356
47,64,81,67,76,335
47,56,20,37,48,208
58,3,11,96,81,249
47,68,3,77,59,254
99,76,82,81,63,401
41,39,69,39,33,221
12,36,43,6,3,100
75,35,76,62,58,306
29,19,82,66,29,225
29,78,88,31,80,306
48,6,57,72,93,276
65,13,59,30,17,184
99,58,5,53,82,297
77,60,73,44,32,286
69,46,42,88,46,291
45,31,88,83,6,253
82,33,35,25,41,216
10,9,12,48,68,147
57,39,89,45,71,301
4,50,66,90,60,270
94,10,12,52,17,185
68,35,61,79,21,264
55,30,29,32,18,164
97,19,74,62,51,303
67,99,60,33,48,307
37,38,96,93,4,268
12,98,17,97,98,322
2,93,84,40,51,270
31,50,61,41,61,244
68,30,53,87,81,319
47,9,66,75,97,294
10,51,50,54,54,219
45,66,93,76,73,353
44,8,37,65,12,166
51,25,71,10,1,158
18,18,69,35,32,172
16,3,27,42,14,102
54,65,52,27,41,239
58,35,44,58,31,226
79,37,35,66,73,290
89,66,72,13,88,328
82,54,70,100,41,347
62,94,15,86,20,277
44,58,8,27,51,188
32,2,70,46,50,200
68,3,29,13,77,190
83,36,22,74,85,300
1,42,83,39,25,190
54,45,10,48,41,198
16,68,53,18,26,181
96,89,66,77,73,401
88,16,4,85,74,267
44,81,50,62,96,333
77,41,83,43,73,317
47,3,96,9,54,209
66,32,96,66,56,316
100,26,55,62,54,297
67,31,36,62,7,203
73,75,17,97,29,291
9,83,85,64,1,242
51,21,19,40,22,153
77,4,14,83,90,268
27,91,23,30,57,228
29,5,17,97,1,149
24,74,44,55,93,290
29,16,86,61,47,239
3,46,29,30,63,171
49,9,82,30,97,267
93,19,48,21,79,260
89,6,82,40,97,314
31,89,67,11,39,237
49,20,93,3,90,255
20,20,72,18,67,197
30,91,65,50,79,315
4,1,13,30,5,53
67,70,22,47,56,262
91,74,53,67,53,338
35,8,58,33,31,165
93,64,97,75,77,406
30,75,52,72,31,260
43,58,100,67,71,339
9,5,77,30,1,122
75,57,87,32,81,332
94,85,5,96,99,379
85,38,81,49,8,261
35,79,38,65,1,218
73,42,52,55,50,272
36,13,9,69,39,166
94,15,56,61,76,302
52,34,1,65,21,173
6,42,14,14,30,106
58,45,76,16,22,217
48,18,48,37,69,220
78,30,17,64,26,215
63,96,26,18,88,291
6,59,76,12,5,158
52,2,28,64,82,228
57,28,28,84,93,290
72,57,89,1,16,235
3,1,86,38,67,195
85,62,59,54,53,313
46,52,51,79,87,315
96,16,67,45,39,263
97,77,61,38,82,355
10,87,95,30,5,227
44,42,42,45,42,215
96,70,82,79,82,409
7,24,64,23,52,170
81,72,73,32,10,268
96,40,87,20,39,282
79,91,28,66,84,348
79,55,37,34,13,218
94,51,86,65,91,387
31,84,38,22,95,270
27,48,23,62,97,257
42,97,50,93,11,293
99,94,74,58,25,350
57,42,9,51,88,247
49,76,98,32,81,336
69,30,2,61,34,196
43,2,64,17,59,185
94,81,100,62,52,389
41,29,67,77,15,229
40,1,34,17,40,132
64,84,70,12,90,320
55,20,40,89,30,234
63,89,31,92,9,284
29,28,43,71,65,236
12,79,84,16,52,243
46,64,7,35,60,212
73,40,77,43,57,290
39,60,4,6,96,205
80,62,48,64,92,346
88,52,90,2,48,280
69,36,97,80,13,295
11,47,6,3,91,158
8,1,30,64,63,166
72,11,53,61,41,238
89,7,9,29,81,215
13,79,96,22,96,306
88,10,44,73,72,287
34,45,34,79,30,222
97,30,51,63,53,294
32,25,99,14,53,223
41,40,12,5,60,158
17,82,14,83,77,273
20,7,79,18,4,128
48,100,30,35,85,298
14,39,8,67,54,182
7,83,99,39,29,257
49,1,42,7,25,124
93,12,35,86,87,313
34,80,37,98,76,325
67,33,58,77,87,322
94,44,2,18,74,232
56,84,54,39,54,287
88,73,43,26,10,240
2,39,80,12,48,181
11,93,43,17,64,228
55,97,47,41,90,330
72,71,55,37,30,265
10,17,35,75,42,179
17,98,94,44,97,350
59,56,84,82,15,296
63,24,84,70,68,309
37,39,93,59,27,255
100,5,6,90,93,294
81,28,2,46,78,235
75,62,23,86,55,301
1,26,88,57,71,243
64,66,10,42,22,204
42,67,18,22,53,202
61,34,3,24,4,126
27,36,47,8,45,163
35,17,94,37,95,278
17,40,56,79,8,200
51,85,2,28,74,240
87,34,41,7,84,253
29,30,44,95,9,207
65,14,74,16,23,192
79,88,67,41,57,332
99,51,84,96,60,390
34,39,65,56,25,219
33,71,68,41,34,247
59,26,5,95,77,262
15,4,95,50,55,219
92,97,69,73,73,404
40,2,5,3,73,123
67,20,66,2,48,203
81,74,60,78,100,393
57,88,46,55,32,278
